Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_1815,B1H3D5,Poly(U)-specific endoribonuclease (EC 3.1.-.-) (Protein endoU) (Uridylate-specific endoribonuclease) (XendoU),1.00E-72,,,
Phel_contig_18150,,,,,,
Phel_contig_18151,,,,,,
Phel_contig_18152,,,,,,
Phel_contig_18153,Q9V3D2,Coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3),4.00E-57,,,
Phel_contig_18154,,,,,,
Phel_contig_18155,,,,,,
Phel_contig_18156,Q8N3T6,Transmembrane protein 132C,1.00E-15,,,
Phel_contig_18157,,,,,,
Phel_contig_18158,Q9JWE9,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)",1.00E-62,,,
Phel_contig_18159,,,,,,
Phel_contig_1816,,,,,,
Phel_contig_18160,,,,,,
Phel_contig_18161,,,,,,
Phel_contig_18163,,,,,,
Phel_contig_18164,Q8BG95,Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2),1.00E-17,2.339312847,0.04027288,
Phel_contig_18165,,,,,,
Phel_contig_18166,A5IGK7,L-threonine 3-dehydrogenase (EC 1.1.1.103),1.00E-22,,,
Phel_contig_18167,,,,,,
Phel_contig_18168,,,,,,
Phel_contig_18169,,,,,,
Phel_contig_1817,,,,,,
Phel_contig_18170,Q96AY4,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),1.00E-17,,,
Phel_contig_18171,Q68F67,DENN domain-containing protein 1A (Connecdenn),6.00E-75,,,
Phel_contig_18172,,,,3.391757094,0.01129805,
Phel_contig_18173,,,,,,
Phel_contig_18174,,,,,,
Phel_contig_18175,Q96MF7,E3 SUMO-protein ligase NSE2 (EC 6.3.2.-) (MMS21 homolog) (hMMS21) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog),4.00E-27,,,
Phel_contig_18176,Q9WU19,Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GOX),6.00E-97,,,
Phel_contig_18177,,,,,,
Phel_contig_18178,Q8WVE7,Transmembrane protein 170A,3.00E-27,,,
Phel_contig_18179,,,,,,
Phel_contig_1818,P52294,"Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]",9.00E-70,,,
Phel_contig_18180,,,,,,
Phel_contig_18181,Q5R6D7,Ankyrin repeat and SOCS box protein 8 (ASB-8),6.00E-11,,,
Phel_contig_18182,,,,-3.101381113,9.22E-05,
Phel_contig_18183,,,,-1.661184739,0.008113373,
Phel_contig_18184,P14381,Transposon TX1 uncharacterized 149 kDa protein (ORF 2),2.00E-108,-2.66982572,0.047108747,
Phel_contig_18185,,,,,,
Phel_contig_18187,,,,,,
Phel_contig_18188,P46413,Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase),2.00E-118,,,
Phel_contig_18189,,,,,,
Phel_contig_1819,,,,,,
Phel_contig_18190,,,,,,
Phel_contig_18191,,,,,,
Phel_contig_18192,,,,,,
Phel_contig_18193,,,,,,
Phel_contig_18194,,,,,,
Phel_contig_18195,Q3T0H0,Leucine carboxyl methyltransferase 1 (EC 2.1.1.233) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1),1.00E-112,,,
Phel_contig_18196,,,,,,
Phel_contig_18197,O54967,Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Non-receptor protein tyrosine kinase Ack) (Tyrosine kinase non-receptor protein 2),2.00E-71,,,
Phel_contig_18198,,,,,,
Phel_contig_18199,Q2T9W6,Leucine-rich repeat flightless-interacting protein 2 (LRR FLII-interacting protein 2),2.00E-10,,,
Phel_contig_182,O88387,"FYVE, RhoGEF and PH domain-containing protein 4 (Actin filament-binding protein frabin) (FGD1-related F-actin-binding protein)",4.00E-112,,,
Phel_contig_1820,Q80XK6,Autophagy-related protein 2 homolog B,2.00E-127,,,
Phel_contig_18200,,,,,,
Phel_contig_18201,,,,,,
Phel_contig_18202,Q4VBI7,Syntaxin-18,1.00E-108,,,
Phel_contig_18203,,,,,,
Phel_contig_18204,,,,,,
Phel_contig_18205,Q9GV77,Extracellular matrix protein 3 (FREM2 homolog),4.00E-124,,,
Phel_contig_18206,,,,,,
Phel_contig_18207,,,,,,
Phel_contig_18208,Q3V6T2,Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1),4.00E-45,,,
Phel_contig_1821,Q9UH99,SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2),2.00E-16,,,
Phel_contig_18210,,,,,,
Phel_contig_18211,Q14156,Protein EFR3 homolog A (Protein EFR3-like),1.00E-44,,,
Phel_contig_18212,,,,,,
Phel_contig_18213,,,,,,
Phel_contig_18214,,,,,,
Phel_contig_18215,,,,,,
Phel_contig_18217,P35689,DNA repair protein complementing XP-G cells homolog (EC 3.1.-.-) (DNA excision repair protein ERCC-5) (Xeroderma pigmentosum group G-complementing protein homolog),5.00E-50,,,
Phel_contig_18218,,,,,,
Phel_contig_18219,P52325,RNA polymerase sigma factor RpoD (Sigma-70),0,,,
Phel_contig_1822,,,,,,
Phel_contig_18220,,,,,,
Phel_contig_18221,,,,,,
Phel_contig_18222,,,,,,
Phel_contig_18223,,,,,,
Phel_contig_18224,Q6DRP4,Malcavernin (Cerebral cavernous malformations protein 2 homolog) (Valentine),7.00E-72,,,
Phel_contig_18225,,,,,,
Phel_contig_18226,,,,-2.012752457,0.014469123,
Phel_contig_18227,,,,,,
Phel_contig_18228,P0AEP9,Glycolate oxidase subunit GlcD,3.00E-08,,,
Phel_contig_18229,,,,,,
Phel_contig_1823,,,,,,
Phel_contig_18230,,,,,,
Phel_contig_18231,Q8NI51,Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein) (Cancer/testis antigen 27) (CT27) (Zinc finger protein CTCF-T),7.00E-79,,,
Phel_contig_18232,,,,,,
Phel_contig_18233,,,,-2.330778638,0.048468026,
Phel_contig_18234,,,,-3.775956683,0.002053212,
Phel_contig_18235,A1KSY4,50S ribosomal protein L35,6.00E-25,,,
Phel_contig_18236,Q3MII6,TBC1 domain family member 25,8.00E-28,,,
Phel_contig_18237,,,,,,
Phel_contig_18238,Q02446,Transcription factor Sp4 (SPR-1),2.00E-27,,,
Phel_contig_18239,C0ZNS6,tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase),3.00E-46,,,
Phel_contig_1824,,,,,,
Phel_contig_18240,Q12912,Lymphoid-restricted membrane protein (Protein Jaw1) [Cleaved into: Processed lymphoid-restricted membrane protein],1.00E-15,,,
Phel_contig_18241,Q2T9T9,F-box/WD repeat-containing protein 9 (F-box and WD-40 domain-containing protein 9),4.00E-88,,,
Phel_contig_18242,Q9C0H5,Rho GTPase-activating protein 39,9.00E-73,,,
Phel_contig_18243,,,,,,
Phel_contig_18244,Q10341,Probable serine-O-acetyltransferase cys2 (EC 2.3.1.-),1.00E-113,,,
Phel_contig_18245,P42335,"Inositol-trisphosphate 3-kinase B (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase B) (IP3 3-kinase B) (IP3K B) (InsP 3-kinase B)",7.00E-83,,,
Phel_contig_18246,Q91WD0,Protein GPR108 (Lung seven transmembrane receptor 2),3.00E-17,,,
Phel_contig_18247,,,,,,
Phel_contig_18248,,,,,,
Phel_contig_18249,,,,,,
Phel_contig_1825,,,,,,
Phel_contig_18250,P37518,Ribosome-binding ATPase YchF,3.00E-41,,,
Phel_contig_18251,,,,,,
Phel_contig_18253,,,,,,
Phel_contig_18254,,,,,,
Phel_contig_18255,Q9NX57,Ras-related protein Rab-20,5.00E-39,,,
Phel_contig_18256,A2RRU4,Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein),2.00E-126,,,
Phel_contig_18258,O60762,Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) (Dolichol-phosphate mannose synthase) (DPM synthase) (Dolichyl-phosphate beta-D-mannosyltransferase) (Mannose-P-dolichol synthase) (MPD synthase),3.00E-69,,,
Phel_contig_18259,,,,6.414723684,1.85E-09,
Phel_contig_1826,,,,,,
Phel_contig_18260,,,,,,
Phel_contig_18261,Q6DFC2,Coiled-coil domain-containing protein 77,1.00E-66,,,
Phel_contig_18262,,,,,,
Phel_contig_18263,,,,,,
Phel_contig_18264,,,,,,
Phel_contig_18265,,,,,,
Phel_contig_18266,,,,,,
Phel_contig_18267,Q9JVW4,Type IV pilus biogenesis and competence protein PilQ,7.00E-32,,,
Phel_contig_18268,O14874,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)",2.00E-118,-2.098139262,0.011067885,
Phel_contig_18269,Q5F3K4,WD repeat-containing protein 48 (USP1-associated factor 1),6.00E-171,,,
Phel_contig_1827,,,,,,
Phel_contig_18270,A4VJB3,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),2.00E-61,,,
Phel_contig_18271,Q4SBY6,Histamine N-methyltransferase (HMT) (EC 2.1.1.8),3.00E-07,-2.339517186,0.015838047,
Phel_contig_18272,,,,-2.032100566,0.015938601,
Phel_contig_18273,,,,,,
Phel_contig_18274,O54972,Protein CBFA2T3 (Eight twenty one protein 2) (MTG8-related protein 2) (Protein ETO-2),2.00E-35,,,
Phel_contig_18275,,,,,,
Phel_contig_18276,,,,,,
Phel_contig_18278,A6W6U4,"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)",7.00E-21,,,
Phel_contig_18279,,,,,,
Phel_contig_1828,Q29261,Villin-1,4.00E-119,-1.191561836,0.010479287,
Phel_contig_18280,Q0P5I5,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase)",7.00E-131,,,
Phel_contig_18281,,,,,,
Phel_contig_18282,,,,,,
Phel_contig_18283,P29702,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha),2.00E-22,,,
Phel_contig_18284,Q9NZJ4,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),7.00E-102,,,
Phel_contig_18285,Q9NP71,Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein),4.00E-71,,,
Phel_contig_18286,P78509,Reelin (EC 3.4.21.-),7.00E-84,,,
Phel_contig_18287,,,,,,
Phel_contig_18288,Q5VTE6,Protein angel homolog 2,8.00E-39,,,
Phel_contig_18289,,,,,,
Phel_contig_1829,,,,-2.513523901,7.19E-07,
Phel_contig_18290,,,,,,
Phel_contig_18291,,,,,,
Phel_contig_18292,O67125,DNA polymerase III subunit alpha (EC 2.7.7.7),1.00E-18,,,
Phel_contig_18293,,,,,,
Phel_contig_18294,,,,,,
Phel_contig_18295,Q99973,Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog),6.00E-53,,,
Phel_contig_18296,,,,,,
Phel_contig_18297,,,,,,
Phel_contig_18298,,,,-4.299762779,0.001374536,
Phel_contig_18299,Q50201,Probable chromosome-partitioning protein ParB,3.00E-08,,,
Phel_contig_183,,,,,,
Phel_contig_1830,,,,,,
Phel_contig_18300,,,,,,
Phel_contig_18301,P47968,Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase),2.00E-107,,,
Phel_contig_18302,,,,,,
Phel_contig_18303,,,,,,
Phel_contig_18304,,,,,,
Phel_contig_18305,P16395,Muscarinic acetylcholine receptor DM1,8.00E-10,,,
Phel_contig_18306,P37727,Rab proteins geranylgeranyltransferase component A 1 (Choroideremia protein homolog) (Rab escort protein 1) (REP-1),3.00E-15,,,
Phel_contig_18307,,,,,,
Phel_contig_18308,P0ABF1,Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein),2.00E-70,,,
Phel_contig_18309,,,,-3.040215105,0.027435269,
Phel_contig_1831,,,,1.365611013,0.003398843,
Phel_contig_18310,,,,,,
Phel_contig_18311,Q8BPM2,Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5),7.00E-110,,,
Phel_contig_18312,,,,,,
Phel_contig_18313,Q96HA9,Peroxisomal membrane protein 11C (Peroxin-11C) (Peroxisomal biogenesis factor 11C) (Protein PEX11 homolog gamma) (PEX11-gamma),3.00E-35,,,
Phel_contig_18314,,,,,,
Phel_contig_18315,Q15746,"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",2.00E-56,3.880650928,0.008136522,
Phel_contig_18316,,,,,,
Phel_contig_18318,,,,,,
Phel_contig_18319,,,,,,
Phel_contig_1832,P30903,Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase),1.00E-167,,,
Phel_contig_18320,,,,,,
Phel_contig_18321,,,,,,
Phel_contig_18322,P51817,cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1),8.00E-119,,,
Phel_contig_18323,Q32SG6,Protein HIRA (Histone regulator protein),3.00E-06,,,
Phel_contig_18324,,,,,,
Phel_contig_18325,,,,,,
Phel_contig_18326,,,,,,
Phel_contig_18327,P76149,Succinate semialdehyde dehydrogenase [NAD(P)+] Sad (SSADH) (SSDH) (EC 1.2.1.16),2.00E-22,,,
Phel_contig_18328,,,,,,
Phel_contig_18329,,,,,,
Phel_contig_1833,,,,,,
Phel_contig_18330,,,,,,
Phel_contig_18331,,,,,,
Phel_contig_18332,Q91437,CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)],0,,,
Phel_contig_18333,,,,,,
Phel_contig_18334,,,,,,
Phel_contig_18335,,,,,,
Phel_contig_18336,Q8NDA8,Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A),1.00E-65,,,
Phel_contig_18337,,,,,,
Phel_contig_18338,,,,,,
Phel_contig_18339,,,,,,
Phel_contig_1834,O14512,"Suppressor of cytokine signaling 7 (SOCS-7) (Nck, Ash and phospholipase C gamma-binding protein) (Nck-associated protein 4) (NAP-4)",2.00E-51,,,
Phel_contig_18340,,,,,,
Phel_contig_18341,Q7ZYA5,Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog A,2.00E-36,-2.566653629,0.00013202,
Phel_contig_18342,,,,,,
Phel_contig_18343,,,,,,
Phel_contig_18344,,,,,,
Phel_contig_18345,Q5F361,TBC domain-containing protein kinase-like protein,0,,,
Phel_contig_18346,,,,,,
Phel_contig_18347,P30195,Epidermin biosynthesis protein EpiB,7.00E-18,,,
Phel_contig_18348,,,,,,
Phel_contig_18349,,,,-3.456418228,0.001108719,
Phel_contig_1835,,,,,,
Phel_contig_18350,,,,,,
Phel_contig_18351,,,,,,
Phel_contig_18352,,,,,,
Phel_contig_18354,,,,,,
Phel_contig_18355,P35251,Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit),9.00E-12,,,
Phel_contig_18356,A1K7B9,Translation initiation factor IF-2,1.00E-98,,,
Phel_contig_18357,,,,,,
Phel_contig_18358,Q8BUR4,Dedicator of cytokinesis protein 1 (180 kDa protein downstream of CRK) (DOCK180),2.00E-117,,,
Phel_contig_18359,,,,,,
Phel_contig_1836,,,,3.280199851,0.009347838,
Phel_contig_18360,Q7NQC8,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK),1.00E-52,,,
Phel_contig_18361,Q99805,Transmembrane 9 superfamily member 2 (p76),2.00E-136,,,
Phel_contig_18362,,,,,,
Phel_contig_18363,Q6DCX5,Proton-coupled folate transporter (Heme carrier protein 1) (PCFT/HCP1) (Solute carrier family 46 member 1),3.00E-31,-2.137807968,0.005604424,
Phel_contig_18364,,,,,,
Phel_contig_18365,,,,,,
Phel_contig_18366,A6GWH3,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),9.00E-24,,,
Phel_contig_18367,Q9NPP4,"NLR family CARD domain-containing protein 4 (CARD, LRR, and NACHT-containing protein) (Clan protein) (Caspase recruitment domain-containing protein 12) (Ice protease-activating factor) (Ipaf)",1.00E-06,,,
Phel_contig_18368,,,,,,
Phel_contig_18369,,,,,,
Phel_contig_1837,,,,,,
Phel_contig_18370,Q5KTC7,N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.-) (N-acylsphingosine amidohydrolase-like) (ASAH-like protein) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta],2.00E-70,,,
Phel_contig_18371,P59759,MKL/myocardin-like protein 2 (Myocardin-related transcription factor B) (MRTF-B),2.00E-09,,,
Phel_contig_18372,,,,,,
Phel_contig_18373,,,,,,
Phel_contig_18374,,,,,,
Phel_contig_18375,A6QQL5,Uncharacterized protein C2orf73 homolog,9.00E-12,,,
Phel_contig_18376,,,,,,
Phel_contig_18377,,,,,,
Phel_contig_18378,Q803X1,Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (ATP-binding domain-containing protein 3) (Cytoplasmic tRNA adenylyltransferase 1),2.00E-145,,,
Phel_contig_18379,,,,,,
Phel_contig_1838,,,,-3.002681271,3.67E-14,
Phel_contig_18380,Q5YWU1,Malate synthase G (EC 2.3.3.9),2.00E-126,,,
Phel_contig_18381,Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14),2.00E-20,,,
Phel_contig_18382,,,,,,
Phel_contig_18383,P0C6B8,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",2.00E-09,,,
Phel_contig_18384,Q96PZ7,CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1),1.00E-08,,,
Phel_contig_18385,Q91ZS8,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),5.00E-145,,,
Phel_contig_18386,,,,,,
Phel_contig_18387,,,,,,
Phel_contig_18388,Q6NRQ1,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.-) (Beta-1,3-N-acetylgalactosaminyltransferase II)",1.00E-13,,,
Phel_contig_18389,P78363,Retinal-specific ATP-binding cassette transporter (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Stargardt disease protein),9.00E-67,,,
Phel_contig_1839,,,,,,
Phel_contig_18390,,,,,,
Phel_contig_18391,,,,,,
Phel_contig_18392,Q96S44,TP53-regulating kinase (EC 2.7.11.1) (Atypical serine/threonine protein kinase TP53RK) (EKC/KEOPS complex subunit TP53RK) (EC 3.6.-.-) (Nori-2) (p53-related protein kinase),9.00E-90,,,
Phel_contig_18393,,,,,,
Phel_contig_18394,,,,,,
Phel_contig_18395,,,,,,
Phel_contig_18396,,,,,,
Phel_contig_18397,,,,,,
Phel_contig_18398,Q5XIR6,IQ domain-containing protein D,8.00E-46,2.040678982,0.025992507,
Phel_contig_18399,,,,,,
Phel_contig_184,,,,,,
Phel_contig_1840,P43690,Developmentally-regulated GTP-binding protein 1 (DRG-1) (xDRG),0,,,
Phel_contig_18400,,,,,,
Phel_contig_18401,O01367,Protein held out wings (KH domain protein KH93F) (Protein muscle-specific) (Protein struthio) (Protein wings held out) (Putative RNA-binding protein) (Quaking-related 93F),4.00E-46,,,
Phel_contig_18402,Q9Y2I8,WD repeat-containing protein 37,2.00E-34,,,
Phel_contig_18403,Q80ZD0,Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5),2.00E-168,,,
Phel_contig_18404,,,,,,
Phel_contig_18405,,,,,,
Phel_contig_18406,,,,,,
Phel_contig_18407,,,,,,
Phel_contig_18408,C3YWU0,Alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase),1.00E-41,,,
Phel_contig_18409,,,,,,
Phel_contig_1841,,,,4.927387745,1.11E-13,
Phel_contig_18410,,,,2.564090609,0.016857849,
Phel_contig_18411,,,,,,
Phel_contig_18412,,,,,,
Phel_contig_18413,,,,,,
Phel_contig_18414,Q9VCA2,Organic cation transporter protein,6.00E-52,,,
Phel_contig_18415,,,,,,
Phel_contig_18416,Q3TCV3,Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)],2.00E-18,,,
Phel_contig_18417,,,,,,
Phel_contig_18418,,,,,,
Phel_contig_18419,,,,,,
Phel_contig_1842,Q80UA9,Insulin-induced gene 2 protein (INSIG-2),3.00E-90,,,
Phel_contig_18420,,,,,,
Phel_contig_18421,,,,,,
Phel_contig_18422,Q8BW70,Ubiquitin carboxyl-terminal hydrolase 38 (EC 3.4.19.12) (Deubiquitinating enzyme 38) (Ubiquitin thioesterase 38) (Ubiquitin-specific-processing protease 38),3.00E-120,,,
Phel_contig_18423,,,,-3.342774667,0.000545609,
Phel_contig_18424,Q4JSG1,50S ribosomal protein L9,2.00E-43,,,
Phel_contig_18425,,,,,,
Phel_contig_18427,,,,,,
Phel_contig_18428,,,,,,
Phel_contig_18429,Q9VAC5,ADAM 17-like protease (EC 3.4.24.-),1.00E-103,,,
Phel_contig_1843,,,,,,
Phel_contig_18431,,,,,,
Phel_contig_18433,,,,,,
Phel_contig_18434,,,,,,
Phel_contig_18435,,,,,,
Phel_contig_18436,,,,,,
Phel_contig_18438,,,,,,
Phel_contig_18439,,,,,,
Phel_contig_18440,,,,,,
Phel_contig_18441,Q8CJ19,Protein-methionine sulfoxide oxidase MICAL3 (EC 1.14.13.-) (Molecule interacting with CasL protein 3) (MICAL-3),1.00E-61,,,
Phel_contig_18442,D2GXS7,Tripartite motif-containing protein 2 (EC 6.3.2.-) (E3 ubiquitin-protein ligase TRIM2),2.00E-10,,,
Phel_contig_18443,,,,,,
Phel_contig_18444,,,,,,
Phel_contig_18446,,,,,,
Phel_contig_18447,O15021,Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1),3.00E-09,,,
Phel_contig_18448,Q7ZX22,WD repeat-containing protein 24,3.00E-25,,,
Phel_contig_18449,,,,,,
Phel_contig_1845,,,,,,
Phel_contig_18450,,,,-1.799402768,0.010369767,
Phel_contig_18451,O95477,ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein),3.00E-125,,,
Phel_contig_18452,,,,,,
Phel_contig_18453,,,,,,
Phel_contig_18454,,,,,,
Phel_contig_18455,,,,,,
Phel_contig_18456,,,,,,
Phel_contig_18457,,,,,,
Phel_contig_18458,,,,,,
Phel_contig_18459,,,,,,
Phel_contig_1846,,,,,,
Phel_contig_18460,Q9NRL2,Bromodomain adjacent to zinc finger domain protein 1A (ATP-dependent chromatin-remodeling protein) (ATP-utilizing chromatin assembly and remodeling factor 1) (hACF1) (CHRAC subunit ACF1) (Williams syndrome transcription factor-related chromatin-remodeling factor 180) (WCRF180) (hWALp1),1.00E-52,,,
Phel_contig_18461,P29741,Probable ATP-dependent helicase DinG homolog (EC 3.6.4.12),1.00E-28,,,
Phel_contig_18462,,,,,,
Phel_contig_18463,P59326,YTH domain family protein 1 (Dermatomyositis associated with cancer putative autoantigen 1 homolog) (DACA-1 homolog),4.00E-11,,,
Phel_contig_18464,P30852,Protein smf,4.00E-25,,,
Phel_contig_18465,,,,,,
Phel_contig_18466,Q7NT63,UPF0307 protein CV_3198,7.00E-23,,,
Phel_contig_18467,,,,,,
Phel_contig_18468,A9M3T0,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129),3.00E-53,,,
